PreyGene;WT_NC;WT_S;WT_FCS;G12_NC ;G12_S;G12_FCS;G13_NC;G13_S;G13_FCS;Q61_NC;Q61_S;Q61_FCS
SERPINB6;0;0;0;0;0;0;0;0;0;0;0;0
HDLBP;1;1;1;1;1;1;1;1;1;1;1;1
RPS9;0;0;0;0;0;0;0;0;0;0;0;0
EHD1;0;0;0;0;0;0;0;0;0;0;0;0
BAT3;0;0;0;0;0;0;0;0;0;0;0;0
ATP11C;0;0;0;0;0;0;0;0;0;0;1;0
DMD;0;0;0;0;0;0;0;0;0;0;0;0
CAPNS1;0;0;0;0;0;0;0;0;0;0;0;0
BCL2L12;0;0;0;0;0;0;0;0;0;0;0;0
TXNRD1;0;0;0;0;0;0;0;0;0;0;0;0
MAGI1;0;0;0;0;0;0;0;0;0;0;0;0
EIF2B4;0;0;0;0;0;0;0;0;0;0;0;0
PTPRJ;0;0;0;0;0;0;0;0;0;0;0;0
ROBO1;1;1;1;0;1;1;0;1;1;1;1;0
KHSRP;0;0;0;0;0;0;0;0;0;0;0;0
SDK1;0;0;0;0;0;0;0;0;0;0;0;0
PABPC1;1;1;1;0;1;1;1;1;1;1;1;0
UHRF1;0;0;0;0;0;0;0;0;0;0;0;0
CDH1;0;0;0;0;0;0;0;0;0;0;0;0
POLA1;0;0;0;0;0;0;0;0;0;0;0;0
SPCS2;0;0;0;0;0;0;0;0;0;0;0;0
HNRNPDL;0;0;0;0;0;0;0;0;0;0;0;0
RPS24;0;0;0;0;0;0;0;0;0;0;0;0
EIF5B;0;0;0;0;0;0;0;0;0;0;0;0
IKBKG;0;0;0;0;0;0;0;0;0;0;0;0
ARL15;0;0;0;0;0;0;0;0;0;0;0;0
SPTBN1;1;1;1;1;1;1;1;1;1;1;1;1
RPL10;0;0;0;0;0;0;0;0;0;0;0;0
SMAP2;0;0;0;0;0;0;0;0;0;0;0;0
ITSN2;0;0;0;0;0;0;0;0;0;0;0;0
MTHFD1L;0;0;0;0;0;0;0;0;0;0;0;0
CLTC;0;0;0;0;0;1;0;1;1;0;0;0
TTC28;0;0;0;0;0;0;0;0;0;0;0;0
EPT1;0;0;0;0;0;0;0;0;0;0;0;0
IQSEC1;0;0;0;0;0;0;0;0;0;0;0;0
NDUFA10;0;0;0;0;0;0;0;0;0;0;0;0
FAM83D;0;0;0;0;0;0;0;0;0;0;0;0
RPL17;0;0;0;0;0;0;0;0;0;0;0;0
MTSS1L;0;0;0;0;0;0;0;0;0;0;0;0
PRKAA2;0;0;0;0;0;0;0;0;0;0;0;0
VTA1;0;0;0;0;0;0;0;0;0;0;0;0
DHX29;0;0;0;0;0;0;0;0;0;0;0;0
PTGES3;0;0;0;0;0;0;0;0;0;0;0;0
FRMPD4;0;0;0;0;0;0;0;0;0;0;0;0
RAVER1;0;0;0;0;0;0;0;0;0;0;0;0
MAP7;0;0;0;0;0;0;0;0;0;0;0;0
PEG10;0;0;0;0;0;0;0;0;0;0;0;0
EIF3H;0;0;0;0;0;0;0;0;0;0;0;0
IDH3B;0;0;0;0;0;0;0;0;0;0;0;0
CADM1;0;1;0;0;0;0;0;0;0;0;0;0
R3HCC1L;0;0;0;0;0;0;0;0;0;0;0;0
CENPE;0;0;0;0;0;0;0;0;0;0;0;0
YTHDF3;0;0;0;0;0;0;0;0;0;0;0;0
RELA;0;0;0;0;0;0;0;1;0;0;1;0
STAU1;1;1;1;1;1;1;1;1;1;1;1;1
AGAP1;0;0;0;0;0;0;0;0;0;0;0;0
PSME2;0;0;0;0;0;0;0;0;0;0;0;0
CNN2;1;1;1;1;1;1;1;1;1;1;1;1
BSG;0;0;0;0;0;0;0;0;0;0;0;0
SRSF3;0;0;0;0;0;0;0;0;0;0;0;0
HECTD1;0;0;0;0;0;0;0;1;0;0;0;0
PSMC6;0;0;0;0;0;0;0;0;0;0;0;0
DOCK9;0;0;0;0;0;0;0;0;0;0;0;0
DOCK1;0;0;0;0;0;0;0;0;0;0;0;0
AAK1;0;0;0;0;0;0;0;0;0;0;0;0
SCLY;0;0;0;0;0;0;0;0;0;0;0;0
MYO10;0;0;0;0;0;0;0;0;0;0;0;0
MBNL1;0;0;0;0;0;0;0;0;0;0;0;0
CACHD1;0;0;0;0;0;0;0;0;0;0;0;0
HNRNPUL1;0;0;0;0;0;0;0;0;0;0;0;0
GPSM1;0;0;0;0;0;0;0;0;0;0;0;0
SYNE2;0;0;0;0;0;0;0;0;0;0;0;0
ASAP1;0;0;0;0;0;0;0;0;0;0;0;0
WDR47;0;0;0;0;0;0;0;0;0;0;0;0
AKAP9;0;0;0;0;0;0;0;0;0;0;0;0
SNX6;0;0;0;0;0;0;0;0;0;0;0;0
PCMT1;0;0;0;0;0;0;0;0;0;0;0;0
MYO6;1;0;1;1;0;1;1;0;1;1;0;0
ABI1;1;1;1;1;1;1;1;1;1;1;1;1
MPP2;0;0;0;0;0;0;0;0;0;0;0;0
RRBP1;0;0;0;0;0;0;0;0;0;0;0;0
TNIP1;0;0;0;0;0;0;0;0;0;0;0;0
SFXN3;0;0;0;0;0;0;0;0;0;0;0;0
CAMK2G;0;0;0;0;0;0;0;0;0;0;0;0
ABCC1;0;0;0;0;0;0;0;0;0;0;0;0
EXOC7;0;0;0;0;0;0;0;0;0;0;0;0
FHL2;0;0;0;0;0;0;0;0;0;0;0;0
RASA2;0;0;0;0;0;0;0;0;0;0;0;0
ARHGAP5;0;0;0;0;0;0;0;0;0;0;0;0
MARK3;1;1;1;0;1;1;1;1;1;1;1;0
SMARCA4;0;0;0;0;0;0;0;0;0;0;0;0
WDR36;0;0;0;0;0;0;0;0;0;0;0;0
RNF213;0;0;0;0;0;0;0;0;0;0;0;0
BTAF1;0;0;0;0;0;0;0;0;0;0;0;0
ROR1;0;0;0;0;0;0;0;0;0;0;0;0
SKP2;0;0;0;0;0;0;0;0;0;0;0;0
FAM65A;0;0;0;0;0;0;0;0;0;0;0;0
CORO7-PAM16;0;0;0;0;0;0;0;0;0;0;0;0
HELLS;0;0;0;0;0;0;0;0;0;0;0;0
NAA15;0;0;0;0;0;0;0;0;0;0;0;0
TPT1;0;0;0;0;0;0;0;0;0;0;0;0
LRRC41;0;0;0;0;0;0;0;0;0;0;0;0
ZCCHC11;0;0;0;0;0;0;0;0;0;0;0;0
SEC13;0;0;0;0;0;0;0;0;0;0;0;0
RPSA;0;0;0;0;0;0;0;0;0;0;0;0
ABI2;1;1;1;1;1;1;1;1;1;1;1;1
SYNE1;0;0;0;0;0;0;0;0;0;0;0;0
PVR;1;1;1;0;1;0;1;1;1;1;1;0
RABGAP1L;0;0;0;0;0;0;0;0;0;0;0;0
ARL6IP4;0;0;0;0;0;0;0;0;0;0;0;0
DDX46;0;0;0;0;0;0;0;0;0;0;0;0
CAST;0;0;0;0;0;0;0;1;0;0;0;0
STX3;0;0;0;0;0;0;0;0;0;0;0;0
PACSIN3;0;0;0;0;0;0;0;0;0;0;0;0
CHD4;0;0;0;0;0;0;0;0;0;0;0;0
NUMBL;0;0;0;0;0;0;0;0;0;0;0;0
CS;0;0;0;0;0;0;0;0;0;0;0;0
KIF18B;0;0;0;0;0;0;0;0;0;0;0;0
DHRS7B;0;0;0;0;0;0;0;0;0;0;0;0
DDOST;0;0;0;0;0;0;0;0;0;0;0;0
GOLGA2;0;0;0;0;0;0;0;0;0;0;0;0
CEPT1;0;0;1;0;0;1;1;1;1;1;1;0
CUL1;0;0;0;0;0;0;0;0;0;0;0;0
FAM120B;0;0;0;0;0;0;0;0;0;0;0;0
DDX3X;0;0;0;0;0;0;0;0;0;0;0;0
EWSR1;0;0;0;0;0;0;0;0;0;0;0;0
COBLL1;0;0;0;0;0;0;0;0;0;0;0;0
STXBP1;0;1;0;0;1;0;0;0;0;0;0;0
PHF6;0;0;0;0;0;0;0;0;0;0;0;0
SYNJ1;0;0;0;0;0;0;0;0;0;0;0;0
DIAPH1;0;1;0;0;1;1;0;1;1;0;1;1
PPP1R18;0;0;0;0;0;0;0;0;0;0;0;0
HSPA1B;0;0;0;0;0;0;0;1;0;0;0;0
RASSF7;0;0;0;0;0;0;0;0;0;0;0;0
SCRIB;1;1;1;1;1;1;1;1;1;1;1;1
TMEM132E;0;0;0;0;0;0;0;0;0;0;0;0
MATR3;0;0;0;0;0;0;0;0;0;0;0;0
CLN6;0;0;0;0;0;0;0;0;0;0;0;0
EIF4G3;0;0;0;0;0;0;0;0;0;0;0;0
ROCK1;0;0;0;0;0;0;0;0;0;0;0;0
DIP2C;0;0;0;0;0;0;0;0;0;0;0;0
DENND4A;0;0;0;0;0;0;0;0;0;0;0;0
ENAH;1;1;1;0;1;0;0;1;0;1;1;0
DOS;0;0;0;0;0;0;0;0;0;0;0;0
GNL1;0;0;0;0;0;0;0;0;0;0;0;0
HSPA12A;0;0;0;0;0;0;0;0;0;0;0;0
ADSL;0;0;0;0;0;0;0;0;0;0;0;0
RAB11FIP5;0;0;0;0;0;0;0;0;0;0;0;0
PXN;0;0;0;0;0;0;0;0;0;0;0;0
KIAA1279;0;0;0;0;0;0;0;0;0;0;0;0
DPYSL2;1;1;1;1;1;1;1;1;1;1;1;1
KIAA1598;0;1;0;0;0;0;0;1;1;1;1;1
MARVELD2;0;1;0;0;1;0;0;0;0;0;1;0
ILVBL;0;0;0;0;0;0;0;0;0;0;0;0
C1orf226;0;0;0;0;0;0;0;0;0;0;0;0
AAR2;0;0;0;0;0;0;0;0;0;0;0;0
HLA-C;0;0;0;0;0;0;0;0;0;0;0;0
MPG;0;0;0;0;0;0;0;0;0;0;0;0
VWA8;0;0;0;0;0;0;0;0;0;0;0;0
WDR91;0;0;0;0;0;0;0;0;0;0;0;0
CNOT1;1;1;1;1;1;1;1;1;1;1;1;1
C5orf51;0;0;0;0;0;0;0;0;0;0;0;0
HCFC1;0;0;0;0;0;0;0;1;1;0;1;1
NUDT5;0;0;0;0;0;0;0;0;0;0;0;0
WBP2;0;0;0;0;0;0;0;0;0;0;0;0
HN1L;1;1;1;0;1;1;0;1;0;1;1;1
YIF1A;0;0;0;0;0;0;0;0;0;0;0;0
DOCK11;0;0;0;0;0;0;0;0;0;0;0;0
CCDC85C;0;0;0;0;0;0;0;0;0;0;0;0
CD81;0;1;0;1;0;0;0;1;1;0;1;0
OBSL1;0;0;0;0;0;0;0;0;0;0;0;0
TP53BP1;0;0;0;0;0;0;0;0;0;0;0;0
PIP5K1A;1;1;1;0;1;0;0;1;1;1;1;0
BTBD11;0;0;0;0;0;0;0;0;0;0;0;0
FAM127A;0;0;0;0;0;0;0;0;0;0;0;0
MLLT4;0;1;0;0;0;0;0;0;0;0;0;0
FAM171A2;0;0;0;0;0;0;0;0;0;0;0;0
EIF3L;0;0;1;1;0;0;0;0;0;0;0;0
CPNE1;0;0;0;0;0;0;0;0;0;0;0;0
ARCN1;0;0;0;0;0;0;0;0;0;0;0;0
CYB5R3;0;0;0;0;0;0;0;0;0;0;0;0
PSMD10;0;0;0;0;0;0;0;0;0;0;0;0
EPHB2;0;0;0;0;0;0;0;0;0;0;0;0
NRD1;0;0;0;0;0;0;0;0;0;0;0;0
ADGRL2;1;1;1;0;1;0;0;1;1;1;1;1
HNRNPC;0;0;0;0;0;0;0;0;0;0;0;0
MARK1;0;0;0;0;0;0;0;0;0;0;0;0
COPS2;0;0;0;0;0;0;0;0;0;0;0;0
ECE1;0;0;0;0;0;0;0;0;0;0;0;0
MGRN1;0;0;0;0;0;0;0;0;0;0;0;0
SEC61A1;0;0;0;0;0;0;0;0;0;0;0;0
VBP1;0;0;0;0;0;0;0;0;0;0;0;0
ILF2;0;0;0;0;0;0;0;0;0;0;0;0
STK26;0;0;0;0;0;0;0;0;0;0;0;0
RIOK3;0;0;0;0;0;0;0;0;0;0;0;0
EML4;0;0;0;0;0;0;0;0;0;0;0;0
EPCAM;0;0;0;0;0;0;0;0;0;0;0;0
PES1;0;0;0;0;0;0;0;0;0;0;0;0
RAN;0;0;0;0;0;0;0;0;0;0;0;0
FGD4;0;0;0;0;0;0;0;0;0;0;0;0
RPL31;0;0;0;0;0;0;0;0;0;0;0;0
ST7;0;0;0;0;0;0;0;0;0;0;0;0
SH3GLB2;1;1;0;0;1;0;0;1;0;1;1;0
SCARB1;0;0;0;0;0;0;0;0;0;0;1;0
FNBP1;0;0;0;0;0;0;0;0;0;0;0;0
PCDH9;0;0;0;0;0;0;0;0;0;0;0;0
SRGAP2;1;1;1;0;1;1;1;1;1;1;1;1
MPP6;0;0;0;0;0;0;0;0;0;0;0;0
ANKZF1;0;0;0;0;0;0;0;0;0;0;0;0
AGFG1;0;0;0;0;0;0;0;0;0;0;0;0
IMMT;0;0;0;0;0;0;0;0;0;0;0;0
DKC1;0;0;0;0;0;0;0;0;0;0;0;0
CNKSR3;0;0;0;0;0;0;0;0;0;0;0;0
PFN2;0;0;0;0;0;0;0;0;0;0;0;0
SRI;0;0;0;0;0;0;0;0;0;0;1;0
POLR2B;1;1;0;1;1;1;1;1;1;1;1;1
MKRN2;0;0;0;0;0;0;0;0;0;0;0;0
IGF1R;0;1;0;0;1;0;0;1;0;0;1;0
SPRED2;0;0;0;0;0;0;0;0;0;0;0;0
PLSCR1;0;1;1;0;1;0;0;0;1;0;1;0
NMD3;0;0;0;0;0;0;0;0;0;0;0;0
SSR3;0;0;0;0;0;0;0;0;0;0;0;0
MRPS34;0;0;0;0;0;0;0;0;0;0;0;0
ARVCF;0;0;0;0;0;0;0;0;0;0;0;0
CAV1;0;0;0;0;0;0;0;0;0;0;0;0
NUCB1;0;0;0;0;0;0;0;0;0;0;0;0
RPL24;0;0;0;0;0;0;0;0;0;0;0;0
CRTAP;0;0;0;0;0;0;0;0;0;0;0;0
CHCHD3;0;0;0;0;0;0;0;0;0;0;0;0
NRCAM;0;0;0;0;0;0;0;0;0;0;0;0
RFC4;0;0;0;0;0;0;0;0;0;0;0;0
CTNND1;1;1;1;1;1;1;1;1;1;1;1;1
RPL35A;0;0;0;0;0;0;0;0;0;0;0;0
RAPH1;0;0;0;0;0;0;0;0;0;0;0;0
EIF4G2;0;0;0;0;0;0;0;0;0;0;0;0
IRAK1;0;0;0;0;0;0;0;0;0;0;1;0
CAMK2D;0;0;0;0;0;0;0;1;0;0;1;0
EIF4E;0;0;0;0;0;0;0;0;0;0;0;0
SEPT11;0;0;0;0;0;0;0;0;0;0;0;0
SEC31A;0;0;0;0;0;0;0;0;0;0;0;0
MCC;0;0;0;0;0;0;0;0;0;0;0;0
COX7A2;0;0;0;0;0;0;0;0;0;0;0;0
GRK6;0;0;0;0;0;0;0;0;0;0;0;0
CLASP2;0;0;0;0;0;0;0;0;0;0;0;0
OPA1;0;0;0;0;0;0;0;0;0;0;0;0
PROSC;0;0;0;0;0;0;0;0;0;0;0;0
TCEB1;0;0;0;0;0;0;0;0;0;0;0;0
SLC39A14;0;0;0;0;0;0;0;0;0;0;0;0
TBCA;1;0;0;0;0;0;0;0;0;0;0;0
PSD3;0;0;0;0;0;0;0;0;0;0;0;0
COPS6;0;0;0;0;0;0;0;0;0;0;0;0
FLOT2;0;0;0;0;0;0;0;0;0;0;0;0
CCT5;0;0;0;0;0;0;0;0;0;0;0;0
SEPT7;0;1;0;0;1;0;0;1;0;0;1;0
PRRC2C;1;1;1;1;1;1;1;1;1;1;1;1
SNCA;0;0;0;0;0;0;0;0;0;0;0;0
EZR;1;1;1;1;1;1;1;1;1;1;1;1
SMN1;0;0;0;0;0;0;0;0;0;0;0;0
ZC3H18;0;0;0;0;0;0;0;0;0;0;0;0
PTK2;0;0;0;0;0;0;0;0;0;0;0;0
ANKRD26;1;1;0;0;1;0;0;0;0;0;1;0
MAP4K4;0;1;0;0;0;0;0;1;0;0;1;0
U2SURP;0;0;0;0;0;0;0;0;0;0;0;0
CSNK2A1;0;0;0;0;0;0;0;0;0;0;0;0
EIF4G1;0;0;1;0;0;0;0;1;0;0;1;0
MAP4;1;1;0;1;1;0;1;1;1;1;1;0
KLC1;0;1;0;0;1;0;1;1;1;1;1;1
CYFIP2;1;1;1;1;1;1;1;1;1;1;1;1
EIF4B;1;1;1;1;1;1;1;1;1;1;1;1
DCTN1;0;0;0;0;0;0;0;0;0;0;0;0
CHTF18;0;0;0;0;0;0;0;0;0;0;0;0
NACA;0;0;0;0;0;0;0;0;0;0;0;0
ZC3H11A;0;0;0;0;0;0;0;0;0;0;0;0
MARK2;0;1;0;0;1;0;0;1;0;0;1;0
RAPGEF6;0;0;0;0;0;0;0;0;0;0;0;0
HSPA4L;0;0;0;0;0;0;0;0;0;0;0;0
MYO1B;0;1;0;0;1;1;1;1;1;1;1;1
PCCB;0;0;0;0;0;0;0;0;0;0;0;0
ATP11A;0;0;0;0;0;0;0;0;0;0;0;0
NRP1;0;1;0;0;0;0;0;0;0;0;0;0
PDPK1;0;0;0;0;0;0;0;0;0;0;0;0
NUP155;0;1;1;1;1;1;0;1;1;1;1;1
TBL2;0;0;0;0;0;0;0;0;0;0;0;0
PHLDB2;0;0;0;0;1;0;0;0;0;0;0;0
PPP2R5D;0;0;0;0;0;0;0;0;0;0;0;0
EPHA4;0;0;0;0;0;0;0;0;0;0;0;0
TSN;0;0;0;0;0;0;0;0;0;0;0;0
CALD1;1;1;1;1;1;0;1;1;1;1;1;1
NCAPH;0;0;0;0;0;0;0;0;1;0;0;1
DST;1;1;1;0;1;0;0;0;1;1;1;1
MERTK;0;0;0;0;0;0;0;0;0;0;0;0
EPB41L2;1;1;1;0;1;0;0;1;1;1;1;0
SLC25A22;0;0;0;0;0;0;0;0;0;0;0;0
ACOT8;0;0;0;0;0;0;0;0;0;0;0;0
EEF1D;0;0;0;0;0;0;0;0;0;0;0;0
BCLAF1;0;0;0;0;0;0;0;0;0;0;0;0
PLEKHA7;1;1;1;0;1;0;0;1;0;1;1;0
PPP6R3;0;0;0;0;0;0;0;0;0;0;0;0
PRMT1;0;0;0;0;0;0;0;0;0;1;1;0
NPEPPS;0;0;0;0;0;0;0;0;0;0;0;0
TYK2;0;0;0;0;0;0;0;0;0;0;0;0
C11orf58;0;0;0;0;0;0;0;0;0;0;0;0
CD151;0;0;0;0;0;0;0;0;0;0;0;0
ARHGEF12;0;0;0;0;0;0;0;0;0;0;0;0
PFDN4;0;0;0;0;0;0;0;0;0;0;0;0
SEC16A;1;1;1;1;1;1;1;1;1;1;1;1
IQGAP3;0;0;0;0;0;0;0;0;0;0;0;0
TRMT2A;0;0;0;0;0;0;0;0;0;0;0;0
WNK1;0;0;0;0;0;0;0;0;0;0;1;0
TRMT112;0;0;1;0;0;1;0;0;1;1;0;1
DDX24;0;0;0;0;0;0;0;0;0;0;0;0
OTUB1;0;0;0;0;0;0;0;0;0;0;0;0
SLC3A2;1;1;1;1;1;1;1;1;1;1;1;1
POLE;0;0;0;0;0;0;0;0;0;0;0;0
GOPC;0;0;0;0;0;0;0;0;0;0;0;0
MTHFD1;0;0;0;0;0;0;0;0;0;0;0;0
SEC23A;0;0;0;0;0;0;0;0;0;0;0;0
VPS37B;0;0;0;0;0;0;0;0;0;0;0;0
GRIP1;0;0;0;0;0;0;0;0;0;0;0;0
NAP1L1;0;0;0;0;0;0;0;0;0;0;0;0
TUBA1C;0;0;0;0;0;0;0;0;0;0;0;0
GRSF1;0;0;0;0;0;0;0;0;0;0;0;0
LRP6;0;0;0;0;0;0;0;0;0;0;0;0
GLOD4;0;0;0;0;0;0;0;0;0;0;0;0
LGALS8;0;0;0;0;0;0;0;0;0;0;0;0
POLDIP3;0;0;0;0;0;0;0;0;0;0;0;0
CAD;0;0;0;0;0;0;0;0;0;0;0;0
ATXN2;0;0;0;0;0;0;0;0;0;0;0;0
SLC38A2;0;1;1;1;1;1;0;1;1;1;1;0
COPZ1;0;0;0;0;0;0;0;0;0;0;0;0
KIAA0430;0;0;0;0;0;0;0;0;0;0;0;0
DENR;0;0;0;0;0;0;0;0;0;0;0;0
SMARCC2;0;0;0;0;0;0;0;0;0;0;0;0
FMNL3;0;0;0;0;0;0;0;0;0;0;0;0
MYL6;0;0;0;0;0;0;1;0;0;1;0;0
HNRNPA1;0;0;0;0;0;0;0;0;0;0;0;0
RPL32;0;0;0;0;0;0;0;0;0;0;0;0
MRE11A;0;0;0;0;0;0;0;0;0;0;0;0
MTMR1;0;0;0;0;0;0;0;0;0;0;0;0
EIF2A;0;0;0;0;0;0;0;0;0;0;0;0
MYO5A;1;0;1;1;0;1;1;0;1;1;0;0
ATP6V1D;0;0;0;0;0;0;0;0;0;0;0;0
ATP5J2-PTCD1;0;0;0;0;0;0;0;0;0;0;0;0
AHSA1;0;0;0;0;0;0;0;0;0;0;0;0
CDK2;0;0;0;0;0;0;0;0;0;0;0;0
PSMA6;0;0;0;0;0;0;0;0;0;0;0;0
PAPOLA;0;0;0;0;0;0;0;0;0;0;0;0
SBF1;1;1;1;1;1;1;1;1;1;1;1;1
USP11;0;0;0;0;0;0;0;0;0;0;0;0
TJP1;1;1;1;1;1;1;1;1;1;1;1;1
CDC27;0;0;0;0;0;0;0;0;0;0;0;0
HNRNPH1;0;0;0;0;0;0;0;0;0;0;0;0
ERC1;0;0;0;0;0;0;0;0;0;0;0;0
DNM1L;0;0;0;0;0;0;0;0;0;0;0;0
ZYX;1;1;1;1;1;1;1;1;1;1;1;0
DPM1;0;0;0;0;0;0;0;0;0;0;0;0
DAB2IP;0;0;0;0;0;0;0;0;0;0;0;0
DOCK4;0;0;0;0;0;0;0;0;0;0;0;0
RPL36A;0;0;0;0;0;0;0;0;0;0;0;0
TNRC6B;0;0;0;0;0;0;0;0;0;0;0;0
CALM2;0;0;0;0;0;0;0;0;0;0;0;0
AHCYL2;0;0;0;0;0;0;0;0;0;0;0;0
HNRNPD;0;0;0;0;0;0;0;0;0;0;0;0
PCDH7;0;0;0;0;0;1;0;1;1;1;1;1
TRPA1;0;0;0;0;0;0;0;0;0;0;0;0
ADAR;0;0;0;0;0;0;0;0;0;0;0;0
CRTC2;0;0;0;0;0;0;0;0;0;0;0;0
PPP5C;0;0;0;0;0;0;0;0;0;0;0;0
EIF2AK4;0;0;0;0;0;0;0;0;0;0;0;0
RPS27L;0;0;0;0;0;0;0;0;0;0;0;0
UACA;1;1;1;1;1;1;1;1;1;1;1;1
TYRO3;0;0;0;0;0;0;0;0;0;0;0;0
DUT;0;0;0;0;0;0;0;0;0;0;0;0
DDX17;0;0;0;0;0;0;0;0;0;0;0;0
RAB11A;0;0;0;0;0;0;0;0;0;0;0;0
IST1;0;0;0;0;0;0;0;0;0;0;0;0
TBC1D24;0;0;0;0;0;0;0;0;0;0;0;0
MACF1;1;1;1;1;1;1;1;1;1;1;1;1
PFDN5;0;0;0;0;0;0;0;0;0;0;0;0
NFATC3;0;0;0;0;0;0;0;0;0;0;0;0
RPAP1;0;0;0;0;0;0;0;0;0;0;0;0
EARS2;0;0;0;0;0;0;0;0;0;0;0;0
LPCAT2;0;0;0;0;0;0;0;0;0;0;0;0
ESYT2;0;0;0;0;0;0;0;0;0;0;0;0
DHX30;0;0;0;0;0;0;0;0;0;0;0;0
ZPR1;0;0;0;0;0;0;0;0;0;0;0;0
TRIM4;0;0;0;0;0;0;0;0;0;0;0;0
RAF1;0;0;0;0;1;0;0;1;1;0;1;0
COBL;0;0;0;0;0;0;0;0;0;0;0;0
SRRT;0;0;0;0;0;0;0;0;0;0;0;0
FARP2;0;0;1;0;0;0;0;0;0;0;0;0
ATG2A;0;0;0;0;0;0;0;0;0;0;0;0
XRN1;0;0;0;0;0;0;0;0;0;0;0;0
IAH1;0;0;0;0;0;0;0;0;0;0;0;0
DDX19A;0;0;0;0;0;0;0;0;0;0;0;0
NSF;0;0;0;0;0;0;0;0;0;0;0;0
DGKE;0;0;0;0;0;0;0;0;0;0;0;0
CLUH;0;0;0;0;0;0;0;0;0;0;0;0
GEMIN4;0;0;0;0;0;0;0;0;0;0;0;0
CEP131;0;0;0;0;0;0;0;0;0;0;0;0
DVL2;0;0;0;0;0;0;0;0;0;0;0;0
MAZ;0;0;0;0;0;0;0;0;0;0;0;0
EIF5A;1;1;1;1;1;1;1;1;1;1;1;0
ANK2;0;0;0;0;0;0;0;0;0;0;0;0
ECM29;0;0;0;0;0;0;0;0;0;0;0;0
TOR1AIP1;0;0;0;0;0;0;0;0;0;0;0;0
DDX41;0;0;0;0;0;0;0;0;0;0;0;0
AGTPBP1;0;0;0;0;0;0;0;0;0;0;0;0
LUC7L3;0;0;0;0;0;0;0;0;0;0;0;0
OLA1;0;0;0;0;0;0;0;0;0;0;0;0
PTRH2;0;0;0;0;0;0;0;0;0;0;0;0
CEP170B;0;0;0;0;0;0;0;0;0;0;0;0
TBCD;0;0;0;0;0;0;0;0;0;0;0;0
DDX5;0;0;0;0;0;0;0;0;0;0;0;0
