PreyGene;WT_NC;WT_S;WT_FCS;G12_NC ;G12_S;G12_FCS;G13_NC;G13_S;G13_FCS;Q61_NC;Q61_S;Q61_FCS
RPL19;0;0;0;0;0;0;0;0;0;0;0;0
ARHGDIA;0;0;0;0;0;0;0;0;0;0;0;0
SNRPN;0;0;0;0;0;0;0;0;0;0;0;0
AURKB;0;0;0;0;0;0;0;0;0;0;0;0
CDKN2A;0;0;0;0;0;0;0;0;0;0;0;0
CDK5RAP3;0;0;0;0;0;0;0;0;0;0;0;0
MYL12A;0;0;0;0;0;0;1;0;0;0;0;0
ZNF207;0;0;0;0;0;0;0;0;0;0;0;0
YES1;1;1;1;1;1;1;1;1;1;1;1;1
LLGL2;0;0;0;0;0;0;0;0;0;0;0;0
HELZ;0;0;0;0;0;0;0;0;0;0;0;0
TMCO1;0;0;0;0;0;0;0;0;0;0;0;0
LONP1;0;0;0;0;0;0;0;0;0;0;0;0
AP1M1;0;0;0;0;0;0;0;0;0;0;0;0
H3F3B;0;0;0;0;0;0;0;0;0;0;0;0
DAZAP1;0;0;0;0;0;0;0;0;0;0;0;0
RPS15;0;0;0;0;0;0;0;0;0;0;0;0
SYNGR2;0;0;0;0;0;0;0;0;0;0;0;0
RBM42;0;0;0;0;0;0;0;0;0;0;0;0
EIF3K;0;0;0;0;0;0;0;0;0;0;0;0
SARS2;0;0;0;0;0;0;0;0;0;0;0;0
COPE;0;0;0;0;0;0;0;0;0;0;1;0
GRAMD1A;0;0;0;0;0;0;0;0;0;0;0;0
SAMD4B;0;0;0;0;0;0;0;0;0;0;0;0
ARHGEF1;0;0;0;0;0;0;0;0;0;0;0;0
RPS5;0;0;0;0;0;0;0;0;0;0;0;0
RPL18A;0;0;0;0;0;0;0;0;0;0;0;0
POLD1;0;0;0;0;0;0;0;0;0;0;0;0
SHKBP1;1;1;1;1;1;1;1;1;1;1;1;1
SUGP2;0;0;0;0;0;0;0;0;0;0;0;0
KIF2A;1;1;1;1;1;0;1;1;0;1;1;0
PDLIM1;1;1;1;1;1;1;1;1;1;1;1;1
MYO1C;1;0;0;1;0;1;1;0;0;1;0;0
SNAP23;1;1;1;1;1;1;1;1;1;1;1;1
AIP;0;1;0;0;1;0;0;1;0;0;1;0
GTPBP1;0;0;0;0;0;0;0;0;0;0;0;0
STXBP3;0;0;0;0;0;0;0;0;0;0;0;0
AP3B1;0;1;1;0;0;0;0;0;0;0;1;1
PSMD11;0;0;0;0;0;0;0;0;0;0;0;0
PGRMC1;0;0;0;0;0;0;0;0;0;0;0;0
SUPT5H;0;0;0;0;0;0;0;0;0;0;0;0
CLIC1;0;0;0;0;0;0;0;0;0;0;0;0
EIF3F;0;0;0;0;0;0;0;0;0;0;0;0
WASL;0;0;0;0;0;0;0;0;0;0;0;0
IPO5;0;0;0;0;0;1;0;0;1;0;0;1
IGF2BP3;0;0;0;0;0;0;0;0;0;0;0;0
RTCA;0;0;0;0;0;0;0;0;0;0;0;0
PIK3R2;0;0;0;0;0;0;0;0;0;0;0;0
EXOC5;0;0;0;0;0;0;0;0;0;0;0;0
NDUFA4;0;0;0;0;0;0;0;0;0;0;0;0
PSMD14;0;0;0;0;0;0;0;0;0;0;0;0
KPNA3;0;0;0;0;0;0;0;0;0;0;0;0
NOP56;0;0;0;0;0;0;0;0;0;0;0;0
PODXL;0;0;0;0;0;0;0;0;0;0;0;0
PPP6C;0;0;0;0;0;0;0;0;0;0;0;0
ACACB;0;0;0;0;0;0;0;0;0;0;0;0
SCD;0;0;0;0;0;0;0;0;0;0;0;0
TRAFD1;1;0;0;0;0;0;0;0;0;0;0;0
CIT;0;0;0;0;0;0;0;0;0;0;0;0
EIF1AX;0;0;0;0;0;0;0;0;0;0;0;0
AP3D1;0;0;0;0;0;0;0;0;0;0;0;0
ABLIM1;0;0;0;0;0;0;0;0;0;0;0;0
IRS4;1;1;1;1;1;1;1;1;1;1;1;1
PDCD5;0;0;1;0;0;0;0;0;0;0;0;0
PRMT5;0;0;0;0;0;0;0;0;0;0;0;0
SLC9A3R1;0;0;0;0;0;0;0;0;0;0;0;0
TCERG1;0;0;1;1;0;1;0;0;1;0;0;1
POLR3A;0;0;0;0;0;0;0;0;0;0;0;0
PSMA7;0;0;0;0;0;0;0;0;0;0;0;0
SCAMP3;1;1;1;0;1;1;0;1;1;1;1;0
BACH1;0;0;0;0;0;0;0;0;0;0;0;0
GEMIN2;0;0;0;0;0;0;0;0;0;0;0;0
GIPC1;0;0;0;0;0;0;0;0;0;0;0;0
TIMM23;0;0;0;0;0;0;0;0;0;0;0;0
HAT1;0;0;0;0;0;0;0;0;0;0;0;0
CASK;1;1;1;1;1;1;1;1;1;1;1;1
UQCRQ;0;0;0;0;0;0;0;0;0;0;0;0
HGS;0;1;0;0;1;0;0;1;0;0;1;0
AURKA;0;0;0;0;0;0;0;0;0;0;0;0
PPP1R12A;1;1;1;1;1;1;1;1;1;1;1;1
GAK;0;0;0;0;0;0;0;0;0;0;0;0
XPO1;0;0;1;0;0;1;0;0;1;0;0;1
SPTBN2;0;0;0;0;0;0;0;0;0;0;0;0
PLXNB2;0;0;0;0;0;0;0;0;0;0;0;0
KIAA0355;0;0;0;0;0;0;0;0;0;0;0;0
PFAS;0;0;0;0;1;0;0;1;0;0;1;0
CHUK;0;0;0;0;0;0;0;0;0;0;0;0
POLR1C;0;0;0;0;0;0;0;0;0;0;0;0
PFDN6;0;0;0;0;0;0;0;0;0;0;0;0
CASC3;0;0;0;0;0;0;0;0;0;0;0;0
MRPS12;0;0;0;0;0;0;0;0;0;0;0;0
SPTLC1;0;1;0;0;1;0;0;1;0;0;1;0
SPTLC2;0;0;0;0;0;0;0;0;0;0;0;0
OGT;0;0;0;0;0;0;0;0;0;0;0;0
MID1;0;0;0;0;0;0;0;0;0;0;0;0
PPM1G;0;0;0;0;0;0;0;0;0;0;0;0
INPPL1;0;0;0;0;0;0;0;0;0;0;0;0
EIF3D;0;1;0;0;0;0;0;1;0;0;0;0
STX7;1;1;1;1;1;1;1;1;1;1;1;1
ABCC4;0;0;0;0;0;0;0;0;0;0;0;0
ABCC5;0;0;0;0;0;0;0;0;0;0;0;0
YKT6;0;0;0;0;0;0;0;0;0;0;0;0
DHX15;0;1;0;0;1;0;0;1;0;0;1;0
PHGDH;0;0;0;0;0;0;0;0;0;0;0;0
PSMD3;0;0;0;0;0;0;0;0;0;0;0;0
RBFOX2;0;0;0;0;0;0;0;0;0;0;0;0
MAP3K7;0;0;0;0;0;0;0;0;0;0;0;0
WDR62;0;0;0;0;0;0;0;0;0;0;0;0
HNRNPR;0;0;0;0;0;0;0;0;0;0;0;0
TXNL1;0;0;0;0;0;0;0;0;0;0;0;0
FIBP;0;0;0;0;0;0;0;0;0;0;0;0
XPOT;0;0;0;0;0;0;0;0;0;0;0;0
NCK2;0;0;0;0;0;0;0;0;0;0;0;0
PRC1;0;0;0;0;0;0;0;0;0;0;0;0
BUB3;0;0;0;0;0;0;0;0;0;0;0;0
ACTN4;1;1;1;1;1;1;1;1;1;1;1;1
AP1G1;0;0;0;0;0;0;0;0;0;0;0;0
SGTA;0;0;0;0;0;0;0;0;0;0;0;0
NARS;0;0;0;0;0;0;0;0;0;0;0;0
NUDT21;0;0;0;0;0;0;0;0;0;0;0;0
LANCL1;0;0;0;0;0;0;0;0;0;0;0;0
AKAP8;0;0;0;0;0;0;0;0;0;0;0;0
CALU;0;0;0;0;0;0;0;0;0;0;0;0
ORC5;0;0;0;0;0;0;0;0;0;0;0;0
DHX16;0;0;0;0;0;0;0;0;0;0;0;0
PRPSAP2;0;0;0;0;0;0;0;0;0;0;0;0
SMARCA5;0;0;0;0;0;1;0;0;0;0;0;0
SPAG9;1;1;1;1;1;1;1;1;1;1;1;1
KIF5C;0;0;0;0;0;0;0;0;0;0;0;0
KDM1A;0;0;0;0;0;0;0;0;0;0;0;0
TBC1D4;0;1;0;0;0;0;0;0;0;0;1;0
SNX3;0;0;0;0;0;0;0;0;0;0;0;0
MGEA5;0;0;0;0;0;0;0;0;0;0;0;0
ADCY9;0;0;0;0;0;0;0;0;0;0;0;0
SYNCRIP;0;0;0;1;1;1;1;1;0;0;1;0
GMDS;0;0;0;0;0;0;0;0;0;0;0;0
BUB1B;0;0;0;0;0;0;0;1;0;0;1;0
EIF4E2;0;0;0;0;0;0;0;0;0;0;0;0
EXOC3;0;0;0;0;0;0;0;0;0;0;0;0
PRMT3;0;0;0;0;0;0;0;0;0;0;0;0
KPNA6;0;0;0;0;0;0;0;0;0;0;0;0
USO1;0;0;0;0;0;0;0;0;0;0;0;0
CCDC22;0;0;0;0;0;0;0;0;0;0;0;0
DNAJA2;0;0;0;0;0;0;0;0;0;0;0;0
PLXNA2;0;0;0;0;0;0;0;0;0;0;0;0
IGSF3;0;0;0;0;0;0;0;0;0;0;0;0
ROCK2;0;0;0;0;0;0;0;0;0;0;0;0
CPNE3;1;1;0;1;1;0;1;1;0;1;1;0
HIP1R;1;1;1;1;1;1;1;1;1;1;1;1
CAND2;0;0;0;0;0;0;0;0;0;0;0;0
PPP6R2;0;0;0;0;0;0;0;0;0;0;0;0
CNOT3;0;0;0;0;0;0;0;0;0;0;0;0
ANKRD17;0;0;0;0;0;0;0;0;0;0;0;0
HMMR;0;0;0;0;0;0;0;1;0;0;0;0
PDCD6;0;0;0;0;0;0;0;0;0;0;0;0
FLNB;1;1;1;1;1;1;1;1;1;1;1;1
ULK1;0;0;0;0;0;0;0;0;0;0;0;0
SEC22B;0;0;0;0;0;0;0;0;0;0;0;0
PRPF40A;0;0;0;0;0;0;0;0;0;0;0;0
TACC1;0;0;0;0;0;0;0;1;0;0;1;0
KATNA1;0;0;0;0;0;0;0;0;0;0;0;0
PSIP1;0;0;0;0;0;0;0;0;0;0;0;0
NDUFS3;0;0;0;0;0;0;0;0;0;0;0;0
SF3B1;0;0;0;0;0;0;0;0;0;0;0;0
CSDE1;1;1;1;1;1;1;1;1;1;1;1;1
MYCBP2;0;0;0;0;0;0;0;0;0;0;0;0
SNRNP200;0;0;1;1;0;0;0;0;0;0;0;0
TIPRL;0;0;0;0;0;0;0;0;0;0;0;0
RP2;0;1;0;0;0;0;0;0;0;0;0;0
SLC25A12;0;0;0;0;0;0;0;0;0;0;0;0
PALM;0;0;0;0;0;0;0;0;0;0;0;0
EIF3G;0;0;0;0;0;0;1;0;0;0;0;0
EIF3J;0;0;0;0;0;0;0;0;0;0;0;0
ZMPSTE24;0;0;0;0;0;0;0;0;0;0;0;0
ATRN;0;0;0;0;0;0;0;0;0;0;0;0
STAM2;0;0;0;0;0;0;0;0;0;0;0;0
PIAS1;0;0;0;0;0;0;0;0;0;0;0;0
FLOT1;0;0;0;0;0;0;0;0;0;0;0;0
TRIO;0;0;0;0;0;0;0;0;0;0;0;0
ATP5L;0;0;0;0;0;0;0;0;0;0;0;0
MPDZ;1;1;1;0;1;0;0;1;1;1;1;1
GLRX3;0;1;0;1;1;0;0;1;1;0;1;1
CLPX;0;0;0;0;0;0;0;0;0;0;0;0
NEBL;0;0;0;0;0;0;0;0;0;0;0;0
SRP72;0;0;0;0;0;0;0;0;0;0;0;0
URI1;0;0;0;0;0;0;0;0;0;0;0;0
STK10;0;0;0;0;0;0;0;0;0;0;0;0
KBTBD11;0;0;0;0;0;0;0;0;0;0;0;0
LTN1;0;0;0;0;0;0;0;0;0;0;0;0
MYO1D;1;0;0;0;0;0;1;0;0;1;0;0
UFL1;0;0;0;0;0;0;0;0;0;0;0;0
ERLIN2;0;0;0;0;0;0;0;0;0;0;0;0
PRPF6;0;0;0;0;0;0;0;0;0;0;0;0
LPHN1;0;0;0;0;0;0;0;0;0;0;0;0
HAUS5;0;0;0;0;0;0;0;0;0;0;0;0
SOGA1;0;0;0;0;0;0;0;0;0;0;0;0
USP19;0;0;0;0;0;0;0;0;0;0;0;0
AP2A2;0;0;0;0;0;0;0;0;0;0;0;0
MFN2;0;0;0;0;0;0;0;0;0;0;0;0
IKBKAP;0;0;0;0;0;0;0;0;0;0;0;0
NDUFB4;0;0;0;0;0;0;0;0;0;0;0;0
KIF20A;0;0;0;0;0;0;0;0;0;0;0;0
KIF4A;0;0;0;0;0;0;0;0;0;0;0;0
VAPB;0;0;0;0;0;0;0;0;0;0;0;0
MPZL1;1;1;1;0;1;0;0;1;1;1;1;0
PGLS;0;0;0;0;0;0;0;0;0;0;0;0
SMC2;0;0;0;0;0;0;0;0;0;0;0;1
IPO7;0;0;0;0;0;0;0;0;0;0;0;0
PGM3;0;0;0;0;0;0;0;0;0;0;0;0
BAG4;0;0;0;0;0;0;0;0;0;0;0;0
PSMG1;0;0;0;0;0;0;0;0;0;0;0;0
SGPL1;0;0;0;0;0;0;0;0;0;0;0;0
SEC24A;0;0;0;0;0;0;0;0;0;0;0;0
SEC24B;0;0;0;0;0;0;0;0;0;0;0;0
ACSL3;0;1;0;1;1;0;1;0;0;0;1;0
PCNT;1;1;1;1;1;1;1;1;1;1;1;1
HERC2;0;1;0;0;1;0;0;0;0;0;1;0
SNAP29;1;1;1;1;1;1;1;1;1;1;1;1
AP2A1;0;0;0;0;0;0;0;0;0;0;0;0
BAG2;0;1;0;1;1;1;1;1;1;1;1;1
BAG3;0;0;0;0;0;0;0;0;0;0;0;0
AIFM1;0;0;0;0;0;0;0;0;0;0;0;0
LATS1;0;0;0;0;0;0;0;0;0;0;0;0
FADS2;0;0;0;0;0;0;0;0;0;0;0;0
NDUFB10;0;0;0;0;0;0;0;0;0;0;0;0
PAK4;1;1;1;1;1;1;1;1;1;1;1;1
LDHA;0;0;0;0;0;0;0;0;0;0;0;0
GLUD1;0;0;0;0;0;0;0;0;0;0;0;0
DHFR;0;0;0;0;0;0;0;0;0;0;0;0
GSR;1;1;1;1;1;1;1;1;1;1;1;1
MT-CO2;0;0;0;0;0;0;0;0;0;0;0;0
SOD1;0;0;0;0;0;0;0;0;0;0;1;0
CP;0;0;0;0;0;0;0;0;0;0;0;0
HPRT1;0;1;0;0;1;0;0;1;0;0;1;0
EGFR;0;0;0;0;0;0;0;0;0;0;0;0
ASS1;0;0;0;0;1;0;0;1;0;0;1;0
NRAS;0;0;0;0;0;0;0;0;0;0;0;0
KRAS;0;0;0;0;0;0;0;0;0;0;0;0
IGHA1;0;0;0;0;0;0;0;0;0;0;0;0
HLA-B;1;0;0;0;1;0;0;0;1;1;1;0
LMNA;0;0;0;0;0;0;0;0;0;0;0;0
TFRC;0;0;0;0;0;0;0;0;0;0;0;0
ALDOA;0;0;0;0;0;0;0;0;0;0;0;0
CSTB;1;1;1;1;1;1;1;1;1;1;1;1
ANXA1;0;0;0;0;0;0;0;0;0;0;0;0
OAT;0;0;0;0;0;0;0;0;0;0;0;0
TK1;1;1;0;0;1;0;1;1;1;1;1;0
SEMG1;0;0;0;0;0;0;0;0;0;0;0;0
GAPDH;0;0;0;0;0;0;0;0;0;0;0;0
HLA-A;1;1;1;1;1;1;1;1;1;1;1;1
ERBB2;1;1;1;0;1;0;0;1;0;0;1;0
TP53;0;0;0;0;0;0;0;0;0;0;0;0
RPN1;0;0;0;0;0;0;0;0;0;0;0;0
RPN2;0;0;0;0;0;1;0;0;1;0;0;1
GNAI2;0;0;0;0;0;0;0;0;0;0;0;0
SLC4A2;0;0;0;0;0;0;0;0;0;0;0;0
ATP1A1;1;1;1;0;1;1;0;1;1;1;1;1
ATP1B1;0;0;0;0;1;0;0;1;0;0;1;0
ARG1;0;0;0;0;0;0;0;0;0;0;0;0
S100A8;0;0;0;0;0;0;0;0;0;0;0;0
SLC25A5;0;0;0;0;0;0;0;0;0;0;0;0
PCCA;0;0;0;0;0;0;0;0;0;0;0;0
EIF2S1;0;0;0;0;0;0;0;0;0;0;0;0
RPLP1;0;0;0;0;0;0;0;0;0;0;0;0
RPLP2;0;0;0;0;0;0;0;0;0;0;0;0
RPLP0;0;0;0;0;0;0;0;0;0;0;0;0
ITGB1;1;1;1;1;1;1;1;1;1;1;1;1
KRT18;0;0;0;0;0;0;0;0;0;0;0;0
INSR;1;1;1;0;1;0;0;1;1;1;1;0
FYN;0;1;0;0;0;0;0;0;0;0;0;0
CDK1;0;0;0;0;0;0;0;0;0;0;0;0
ATP5B;0;0;0;0;0;0;0;0;0;0;0;0
S100A9;0;0;0;0;0;0;0;0;0;0;0;0
ENO1;0;0;0;0;0;0;0;0;0;0;0;0
GPI;0;0;0;0;0;0;0;0;0;0;0;0
NPM1;0;0;0;0;0;0;0;0;0;0;0;0
TPM3;1;0;0;1;0;0;1;1;0;1;1;0
ITGAV;0;0;0;0;0;0;0;0;0;0;0;0
LDHB;0;0;0;0;0;0;0;0;0;0;0;0
P4HB;0;0;0;0;0;0;0;0;0;0;0;0
ANXA2;0;0;0;0;0;0;0;0;0;0;0;0
CAPN1;0;0;0;0;0;0;0;0;0;0;0;0
TUBB;0;0;0;0;0;0;0;0;0;0;0;0
PFN1;0;0;1;0;0;0;0;0;0;0;0;0
APRT;0;0;0;0;0;0;0;0;0;0;0;0
EPRS;0;0;0;0;0;0;0;0;0;0;0;0
HSP90AA1;0;0;0;0;0;0;0;0;0;0;0;0
LYN;0;0;0;0;0;0;0;0;0;0;0;0
ANXA6;1;1;1;0;1;0;0;1;0;0;1;0
RHOC;0;0;0;0;1;0;0;1;0;0;0;0
PFKM;0;0;0;0;0;0;0;0;0;0;0;0
HSP90AB1;0;0;0;0;0;0;0;0;0;0;0;0
SRPR;0;0;0;0;0;0;0;1;0;0;1;0
ASNS;0;0;0;0;0;0;0;0;0;0;0;0
MET;0;0;0;0;0;0;0;0;0;0;0;0
SNRNP70;0;0;0;0;0;0;0;0;0;0;0;0
ITGA5;0;0;0;0;0;0;0;0;0;0;1;0
VIM;0;0;0;0;0;0;0;0;0;0;0;0
RPS17;0;0;0;0;0;0;0;0;0;0;0;0
GNAI3;1;1;1;1;1;1;1;1;1;1;1;1
ANXA5;0;0;0;0;0;0;0;0;0;0;0;0
GNAO1;0;0;0;0;0;0;0;0;0;0;0;0
CLTA;0;0;0;0;0;0;0;0;0;0;0;0
CNP;0;0;0;0;0;0;0;0;0;0;0;0
COX6C;0;0;0;0;0;0;0;0;0;0;0;0
PARP1;0;0;0;0;0;0;0;0;0;0;0;0
UCHL1;0;0;0;0;0;0;0;0;0;0;0;0
ALDOC;1;1;1;1;1;0;1;1;0;1;1;0
H2AFV;0;0;0;0;0;0;0;0;0;0;0;0
HIST1H2AH;0;0;0;0;0;0;0;0;0;0;0;0
U2AF1;0;0;0;0;0;0;0;0;0;0;0;0
CBS;1;1;1;1;1;1;1;1;1;1;1;1
TROVE2;0;0;0;0;0;0;0;0;0;0;0;0
ARAF;0;0;0;0;0;0;0;0;0;0;0;0
HIST1H1E;0;0;0;0;0;0;0;0;0;0;0;0
PTPRF;0;1;0;0;0;0;0;0;0;0;0;0
TXN;0;0;0;0;0;0;0;0;0;0;0;0
COX5B;0;0;0;0;0;0;0;0;0;0;0;0
HSPD1;0;0;0;0;0;0;0;0;0;0;0;0
HSPA5;0;0;0;0;0;0;0;0;0;0;0;0
HSPA8;0;0;0;0;0;0;0;0;0;0;0;0
EPB41;1;1;1;1;1;1;0;1;0;1;1;0
UMPS;0;0;0;0;0;0;0;0;0;0;0;0
DBT;0;0;0;0;0;0;0;0;0;0;0;0
PYGB;0;0;0;0;0;0;0;0;0;0;0;0
RALA;1;1;1;0;1;0;0;1;0;0;1;0
RALB;0;0;0;0;0;0;0;0;0;0;0;0
BCR;0;0;0;0;0;0;0;0;0;0;1;0
TOP2A;0;0;0;0;0;0;0;0;0;0;0;0
G6PD;0;0;0;0;0;0;0;0;0;0;0;0
PC;0;0;0;0;0;0;0;0;0;0;0;0
CDK4;0;0;0;0;0;0;0;0;0;0;0;0
PCNA;0;0;0;0;0;0;0;0;0;0;0;0
HARS;0;0;0;0;0;0;0;0;0;0;0;0
SLC25A4;0;0;0;0;0;0;0;0;0;0;0;0
SLC25A6;0;0;0;0;0;0;0;0;0;0;0;0
IMPDH2;0;1;0;0;1;0;0;1;0;0;1;0
CKB;0;0;0;0;0;0;0;0;0;0;0;0
ACTN1;1;1;1;1;1;1;1;1;1;1;1;1
SRC;0;0;0;0;0;0;0;0;0;0;0;0
PEPD;0;0;0;0;0;0;0;0;0;0;0;0
XRCC6;0;0;0;0;0;0;0;0;0;0;0;0
XRCC5;0;0;0;0;0;0;0;0;0;0;0;0
COX4I1;0;0;0;0;0;0;0;0;0;0;0;0
RNH1;0;0;0;0;0;0;0;0;0;0;0;0
ITGA4;0;0;0;0;0;0;0;0;0;0;0;0
EEF2;0;0;0;0;0;0;0;0;0;0;0;0
LCP1;0;0;0;0;0;0;0;0;0;0;0;0
PLS3;1;1;1;1;1;1;1;1;1;1;1;1
MIF;1;0;1;1;0;1;1;0;1;1;0;1
TRIM27;0;0;0;0;0;0;0;0;0;0;0;0
PKM;0;0;0;0;0;0;0;0;0;0;0;0
HSP90B1;0;0;0;0;0;0;0;0;0;0;0;0
CCNB1;0;0;0;0;0;0;0;0;0;0;0;0
IDE;0;0;0;0;0;0;0;0;0;0;0;0
HNRNPL;0;0;0;0;0;0;0;0;0;0;0;0
DARS;0;0;0;0;0;0;0;0;1;0;0;1
JUP;0;0;0;0;0;0;0;0;0;0;0;0
GSPT1;1;1;1;1;1;1;1;1;1;1;1;1
RPS2;0;0;0;0;0;0;0;0;0;0;0;0
DSP;0;0;0;0;0;0;0;0;0;0;0;0
CBR1;0;0;0;0;0;0;0;0;0;0;0;0
HIST1H1C;0;0;0;0;0;0;0;0;0;0;0;0
ATP2A2;0;0;0;0;0;0;0;0;0;0;0;0
PRKCA;0;0;0;0;0;0;0;0;0;0;0;0
ITGA2;1;1;1;1;1;0;1;1;1;1;1;0
CAPN2;0;1;0;0;1;0;0;1;0;0;1;0
CTPS1;0;0;0;0;0;0;0;0;0;0;0;0
PFKL;0;0;0;0;0;0;0;0;0;0;0;0
LGALS3;1;1;1;0;1;0;0;1;0;1;1;0
TCP1;0;0;0;0;0;0;0;0;0;0;0;0
PTPN1;1;1;0;1;1;0;0;1;0;1;1;1
ARF4;0;0;0;0;0;0;0;0;0;0;0;0
RPL7;0;0;0;0;0;0;0;0;0;0;0;0
VCL;0;1;1;1;1;0;1;1;1;1;1;0
PTPRA;0;0;0;0;0;0;0;0;0;0;0;0
PGAM1;0;0;0;0;0;0;0;0;0;0;0;0
CDH2;1;1;1;1;1;1;1;1;1;1;1;1
PLCG1;0;1;0;0;1;0;0;0;0;0;1;0
NCL;0;0;0;0;0;0;0;0;0;0;0;0
HK1;0;0;0;0;0;0;0;0;0;0;0;0
POLR2C;0;0;0;0;0;0;0;0;0;0;0;0
EIF2AK2;0;0;0;0;0;0;0;0;0;0;0;0
CSNK2A2;0;0;0;0;0;0;0;0;0;0;0;0
ATP2B1;1;1;1;1;1;1;1;1;1;1;1;1
ANXA7;1;1;1;1;1;1;1;1;1;1;1;1
RAB5A;0;0;0;0;0;0;0;0;0;0;0;0
RAB6A;0;0;0;0;0;0;0;0;0;0;0;0
LMNB1;0;0;0;0;0;0;0;0;0;0;0;0
IMPDH1;0;0;0;0;0;0;0;0;0;0;0;0
NEB;0;0;0;0;0;0;0;0;0;0;0;0
ATP6V1B2;0;0;0;0;0;0;0;0;0;0;0;0
CSRP1;0;0;0;0;0;0;0;0;0;0;0;0
NF1;0;0;0;0;0;0;0;0;0;0;0;0
VDAC1;0;0;0;0;0;0;0;0;0;0;0;0
OSBP;0;0;0;0;0;0;0;0;0;0;0;0
FBL;0;0;0;0;0;0;0;0;0;0;0;0
GART;1;1;1;1;1;1;1;1;1;1;1;1
PAICS;0;0;0;0;0;0;0;0;0;0;0;0
UBA1;0;0;0;0;0;0;0;0;0;0;0;0
NME1-NME2;0;0;0;0;0;0;0;0;0;0;0;0
HNRNPA2B1;0;0;0;0;0;0;0;0;0;0;0;0
CBL;0;0;0;0;0;0;0;0;0;0;0;0
UQCRC2;0;0;0;0;0;0;0;0;0;0;0;0
ITGA6;1;1;1;0;1;0;0;1;0;1;1;0
SFPQ;0;0;0;0;0;0;0;0;0;0;0;0
TUBG1;0;0;0;0;0;0;0;0;0;0;0;0
PPIB;0;0;0;0;0;0;0;0;0;0;0;0
WARS;0;0;0;0;0;0;0;0;0;0;0;0
RPS3;0;0;0;0;0;0;0;0;0;0;0;0
JAK1;1;1;0;0;1;0;0;1;0;0;1;0
PTPRG;0;0;0;0;0;0;0;0;0;0;0;0
AHCY;0;0;0;0;0;0;0;0;0;0;0;0
CFL1;1;1;0;1;1;0;1;1;0;1;1;0
ATP2B4;1;1;1;1;1;1;1;1;1;1;1;1
RRM1;0;0;0;0;0;0;0;0;0;0;0;0
EEF1B2;0;0;0;0;0;0;0;0;0;0;0;0
ATP5F1;0;0;0;0;0;0;0;0;0;0;0;0
ACP1;0;0;0;0;0;0;0;0;0;0;0;0
PRKCH;0;0;0;0;0;0;0;0;0;0;0;0
ACAT1;0;0;0;0;0;0;0;0;0;0;0;0
